Company Name,Job Name,Job Released,Company Location,Job Link
Dubai Careers - A Smart Dubai Initiative,Information Security Officer,1 month ago,"Dubai, Dubai, United Arab Emirates",https://ae.linkedin.com/jobs/view/information-security-officer-at-dubai-careers-a-smart-dubai-initiative-3199919519?refId=PY73bA9w7fEM34lnZa7hzQ%3D%3D&trackingId=T8s9l1h3xtojdeS72b9mMA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
MMI - Maritime and Mercantile International,"IT Security, Governance and Quality Manager",Actively Hiring,"Dubai, United Arab Emirates",https://ae.linkedin.com/jobs/view/it-security-governance-and-quality-manager-at-mmi-maritime-and-mercantile-international-3228887875?refId=PY73bA9w7fEM34lnZa7hzQ%3D%3D&trackingId=Q%2FeXLwkKddqHdEIYcU%2Bwqw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
Halian Middle East,Information Security Analyst,Actively Hiring,"Dubai, Dubai, United Arab Emirates",https://ae.linkedin.com/jobs/view/information-security-analyst-at-halian-middle-east-3231984610?refId=PY73bA9w7fEM34lnZa7hzQ%3D%3D&trackingId=BXUOAEpRNurM2lCgZ6kOcw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
Equiti Group,Information Security GRC Manager,Actively Hiring,"Dubai, United Arab Emirates",https://ae.linkedin.com/jobs/view/information-security-grc-manager-at-equiti-group-3235012040?refId=PY73bA9w7fEM34lnZa7hzQ%3D%3D&trackingId=QaxwpK6JOt7xw6lE7g0jzg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
Dubai Careers - A Smart Dubai Initiative,Information Security Manager,1 month ago,"Dubai, Dubai, United Arab Emirates",https://ae.linkedin.com/jobs/view/information-security-manager-at-dubai-careers-a-smart-dubai-initiative-3183696865?refId=PY73bA9w7fEM34lnZa7hzQ%3D%3D&trackingId=WuEE2kNTZ95T4323%2FeUduw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
Dubai Careers - A Smart Dubai Initiative,SPECIALIST INFORMATION SECURITY,4 months ago,"Dubai, Dubai, United Arab Emirates",https://ae.linkedin.com/jobs/view/specialist-information-security-at-dubai-careers-a-smart-dubai-initiative-3032708056?refId=PY73bA9w7fEM34lnZa7hzQ%3D%3D&trackingId=qvTRTJEy62uGlySLRyye4Q%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
Grant Thornton - UAE,Consultant / Senior Consultant - Cyber Security,Actively Hiring,"Dubai, United Arab Emirates",https://ae.linkedin.com/jobs/view/consultant-senior-consultant-cyber-security-at-grant-thornton-uae-3223749533?refId=PY73bA9w7fEM34lnZa7hzQ%3D%3D&trackingId=WQa4ErzhPdQJGMVeTRlQVw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
Albatha Group,L1 SOC Analyst,Actively Hiring,"Dubai, United Arab Emirates",https://ae.linkedin.com/jobs/view/l1-soc-analyst-at-albatha-group-3237791946?refId=PY73bA9w7fEM34lnZa7hzQ%3D%3D&trackingId=WszB%2BeH%2BhBTXqIVD6frZnQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
Paramount Computer Systems,Assistant Manager – Information Security,Actively Hiring,"Dubai, United Arab Emirates",https://ae.linkedin.com/jobs/view/assistant-manager-%E2%80%93-information-security-at-paramount-computer-systems-3235944961?refId=PY73bA9w7fEM34lnZa7hzQ%3D%3D&trackingId=WaFgriZsLQmWCdo3C7NMxw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
MBG Corporate Services UAE,Information Security & Privacy – Manager,Actively Hiring,"Dubai, United Arab Emirates",https://ae.linkedin.com/jobs/view/information-security-privacy-%E2%80%93-manager-at-mbg-corporate-services-uae-3221576410?refId=PY73bA9w7fEM34lnZa7hzQ%3D%3D&trackingId=TUm%2Bjuvz3LbhtDL%2BXDEBhg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
Equiti Group,Offensive Security Team Leader,Actively Hiring,"Dubai, United Arab Emirates",https://ae.linkedin.com/jobs/view/offensive-security-team-leader-at-equiti-group-3235010325?refId=PY73bA9w7fEM34lnZa7hzQ%3D%3D&trackingId=bjy5RDavJ0TzJgGPoVNUqg%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
Mandiant,Information Security Consultant (Dubai),Actively Hiring,"Dubai, Dubai, United Arab Emirates",https://ae.linkedin.com/jobs/view/information-security-consultant-dubai-at-mandiant-3134167194?refId=PY73bA9w7fEM34lnZa7hzQ%3D%3D&trackingId=om%2F73tXvhSqAVKzu0YOmrQ%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
IHS Towers,Information Assurance Specialist,Actively Hiring,"Dubai, United Arab Emirates",https://ae.linkedin.com/jobs/view/information-assurance-specialist-at-ihs-towers-3231975142?refId=PY73bA9w7fEM34lnZa7hzQ%3D%3D&trackingId=qCihh9g9vIRgPbIytqWIoA%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
Dubai Careers - A Smart Dubai Initiative,Senior IT Auditor,1 month ago,"Dubai, Dubai, United Arab Emirates",https://ae.linkedin.com/jobs/view/senior-it-auditor-at-dubai-careers-a-smart-dubai-initiative-3174911922?refId=PY73bA9w7fEM34lnZa7hzQ%3D%3D&trackingId=zIjKQ5OjzOIKhj9FlYBgfw%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
cander,Engineering Security Lead,Actively Hiring,"Dubai, United Arab Emirates",https://ae.linkedin.com/jobs/view/engineering-security-lead-at-cander-3231034953?refId=PY73bA9w7fEM34lnZa7hzQ%3D%3D&trackingId=%2B%2Ft5vm%2BrslN%2B6eUfAqK0ng%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
Deloitte,Audit & Assurance | IT Specialist,Actively Hiring,"Dubai, United Arab Emirates",https://ae.linkedin.com/jobs/view/audit-assurance-it-specialist-at-deloitte-3231310509?refId=PY73bA9w7fEM34lnZa7hzQ%3D%3D&trackingId=iOwhRTNBDhY79sA6V9h5ZA%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
EMPG,Privacy and Data Protection Manager,16 hours ago,"Dubai, Dubai, United Arab Emirates",https://ae.linkedin.com/jobs/view/privacy-and-data-protection-manager-at-empg-3238297194?refId=PY73bA9w7fEM34lnZa7hzQ%3D%3D&trackingId=hahF7qbCaijQASSbctwjSQ%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
Atos,SECURITY CONSULTANT,Actively Hiring,"Dubai, Dubai, United Arab Emirates",https://ae.linkedin.com/jobs/view/security-consultant-at-atos-3221821216?refId=PY73bA9w7fEM34lnZa7hzQ%3D%3D&trackingId=1p0mN7WhrDH5GsT%2FyVb8tg%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
Hex Trust,IT Governance & Compliance Analyst/Associate,Actively Hiring,"Dubai, Dubai, United Arab Emirates",https://ae.linkedin.com/jobs/view/it-governance-compliance-analyst-associate-at-hex-trust-3231452210?refId=PY73bA9w7fEM34lnZa7hzQ%3D%3D&trackingId=n2pQ4bRstb%2B3GoirKo4iKA%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
ENOC,Application Security Engineer,Actively Hiring,"Dubai, United Arab Emirates",https://ae.linkedin.com/jobs/view/application-security-engineer-at-enoc-3228696648?refId=PY73bA9w7fEM34lnZa7hzQ%3D%3D&trackingId=OOiCdBdq4rykMUBHT%2BWfog%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
TNC Group,Cyber Security Engineer / Ethical Hacker,Actively Hiring,"Dubai, United Arab Emirates",https://ae.linkedin.com/jobs/view/cyber-security-engineer-ethical-hacker-at-tnc-group-3219791890?refId=PY73bA9w7fEM34lnZa7hzQ%3D%3D&trackingId=osBTNBJUuFVKnwlnx4dFlA%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
Halian Middle East,Chief Information Security Officer,Actively Hiring,"Dubai, Dubai, United Arab Emirates",https://ae.linkedin.com/jobs/view/chief-information-security-officer-at-halian-middle-east-3032127406?refId=PY73bA9w7fEM34lnZa7hzQ%3D%3D&trackingId=H2sKxlFgEWi%2BDHMGKbomFw%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
Jungle,Chief Information and Security Officer - CISO,4 weeks ago,"Dubai, Dubai, United Arab Emirates",https://ae.linkedin.com/jobs/view/chief-information-and-security-officer-ciso-at-jungle-3235402532?refId=PY73bA9w7fEM34lnZa7hzQ%3D%3D&trackingId=K3DFqUamEfwQZ0Nu3Nyqdw%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
AXA Gulf,Regional IT Security & Network Manager,Actively Hiring,"Dubai, United Arab Emirates",https://ae.linkedin.com/jobs/view/regional-it-security-network-manager-at-axa-gulf-3206265308?refId=PY73bA9w7fEM34lnZa7hzQ%3D%3D&trackingId=ExZfC1y8CepK%2FvuMcXcB1Q%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
PwC Middle East,IT Audit- Senior Associate,Actively Hiring,"Dubai, Dubai, United Arab Emirates",https://ae.linkedin.com/jobs/view/it-audit-senior-associate-at-pwc-middle-east-3212175294?refId=PY73bA9w7fEM34lnZa7hzQ%3D%3D&trackingId=TdqumE5fVLDeQLL3YL7AhA%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
Halian Middle East,Director of Cyber Security Consulting,Actively Hiring,"Dubai, Dubai, United Arab Emirates",https://ae.linkedin.com/jobs/view/director-of-cyber-security-consulting-at-halian-middle-east-3137381009?refId=HfUWEajkLZo9lLo20kLylA%3D%3D&trackingId=46mG2u2DaH4ErHpf0mON1A%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card
ValueMentor,IT Compliance officer,"AED120,000 - AED180,000","Dubai, Dubai, United Arab Emirates",https://ae.linkedin.com/jobs/view/it-compliance-officer-at-valuementor-3196746233?refId=HfUWEajkLZo9lLo20kLylA%3D%3D&trackingId=1NSsvsvA1jIlKmeeYuguLQ%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card
PwC Middle East,IT Audit- Senior Associate,Actively Hiring,"Dubai, Dubai, United Arab Emirates",https://ae.linkedin.com/jobs/view/it-audit-senior-associate-at-pwc-middle-east-3137366769?refId=HfUWEajkLZo9lLo20kLylA%3D%3D&trackingId=mp5DyUQIMlYXIuOEHjQwKQ%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card
IHS Towers,IT Risk & Control Specialist,Actively Hiring,"Dubai, United Arab Emirates",https://ae.linkedin.com/jobs/view/it-risk-control-specialist-at-ihs-towers-3191771811?refId=HfUWEajkLZo9lLo20kLylA%3D%3D&trackingId=5aZPVgN6P0G0GLcyvBU0VA%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card
Jungle,Chief Information Security Officer,3 weeks ago,"Dubai, United Arab Emirates",https://ae.linkedin.com/jobs/view/chief-information-security-officer-at-jungle-3204598792?refId=HfUWEajkLZo9lLo20kLylA%3D%3D&trackingId=oW%2BLEhfP7%2FovdYMoHsGtjw%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card
Mandiant,Strategic Cybersecurity Advisor,Actively Hiring,"Dubai, Dubai, United Arab Emirates",https://ae.linkedin.com/jobs/view/strategic-cybersecurity-advisor-at-mandiant-3077241434?refId=HfUWEajkLZo9lLo20kLylA%3D%3D&trackingId=XsVceCbftPz%2BDpRJdCCaeA%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card
Deriv,Senior Security Analyst,Actively Hiring,"Dubai, Dubai, United Arab Emirates",https://ae.linkedin.com/jobs/view/senior-security-analyst-at-deriv-3231358992?refId=HfUWEajkLZo9lLo20kLylA%3D%3D&trackingId=IbLu38bkVT%2BHfdVUT3ZBsw%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card
